Method,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total cost,Total successful delivery,Avg. cost per successful delivery
NDF,200,75,20,10,242.99907684326172,597.1191000000001,200,2.9855955000000005
EDF,200,75,20,10,232.94901847839355,738.9992000000002,199,3.7135638190954783
CSA,200,100,20,10,25.001049041748047,326.1986,199,1.639188944723618
NDF,200,100,20,10,360.99910736083984,587.8984,200,2.939492
EDF,200,100,20,10,386.0344886779785,742.2824000000003,199,3.7300623115577904
CSA,200,5,13,15,12.000560760498047,812.7573000000001,196,4.146720918367348
NDF,200,5,13,15,21.02518081665039,636.2471999999999,195,3.2628061538461535
EDF,200,5,13,15,20.981311798095703,835.4243999999999,197,4.2407329949238575
CSA,200,25,13,15,11.001348495483398,384.3351,198,1.9410863636363638
NDF,200,25,13,15,83.31632614135742,613.7790999999999,199,3.084317085427135
EDF,200,25,13,15,92.03648567199707,776.2171000000002,199,3.900588442211056
CSA,200,50,13,15,10.991334915161133,380.0497999999999,198,1.919443434343434
NDF,200,50,13,15,164.9472713470459,600.5312,200,3.002656
EDF,200,50,13,15,173.0515956878662,773.3734000000001,199,3.886298492462312
CSA,200,75,13,15,11.000394821166992,332.2706,198,1.6781343434343434
NDF,200,75,13,15,225.98648071289062,601.2998,200,3.006499
EDF,200,75,13,15,245.96071243286133,739.1345,199,3.714243718592965
CSA,200,100,13,15,12.000083923339844,314.7331,198,1.589561111111111
NDF,200,100,13,15,327.9991149902344,580.5730000000002,200,2.902865000000001
EDF,200,100,13,15,424.9463081359863,715.0201,199,3.5930658291457283
